Frequency/Features,Design_1,Design_2,Design_3,Design_4,Design_5,Design_6,Design_7,Design_8,Design_9,Design_10,Design_11,Design_12,Design_13,Design_14,Design_15,Design_16,Design_17,Design_18,Design_19,Design_20,Design_21,Design_22,Design_23,Design_24,Design_25,Design_26,Design_27,Design_28,Design_29,Design_30,Design_31,Design_32,Design_33,Design_34,Design_35,Design_36,Design_37,Design_38,Design_39,Design_40,Design_41,Design_42,Design_43,Design_44,Design_45,Design_46,Design_47,Design_48,Design_49,Design_50
0.37058824,0.98033383,0.96816917,0.97432593,0.98430869,0.989387,0.97090337,0.98336191,0.98033383,0.96817027,0.97432662,0.98430736,0.989387,0.9709068,0.98336602,0.9803343,0.96816515,0.97432631,0.98430736,0.98938118,0.97090472,0.98336191,0.97087901,0.979339,0.98519241,0.97542107,0.9801509,0.97899476,0.98541548,0.97087901,0.979339,0.9851925,0.97542717,0.98015864,0.97899867,0.98541548,0.97087249,0.979339,0.98519241,0.97542078,0.98015743,0.97899574,0.98541659,0.99109039,0.98896916,0.97726579,0.99012339,0.9809892,0.98730728,0.98161259,0.99108678
0.37563026,0.98433615,0.98037423,0.96880493,0.97032269,0.97487974,0.98390328,0.96473069,0.98433615,0.98037471,0.96880599,0.97032028,0.97487966,0.9839057,0.9647352,0.98433668,0.98037127,0.9688044,0.97032028,0.97487226,0.98390411,0.96473069,0.96831065,0.96504603,0.98826817,0.98535777,0.97481011,0.98884762,0.97015036,0.96831065,0.96504603,0.98826817,0.98536529,0.97481811,0.98885226,0.97015036,0.96830516,0.96504603,0.98826817,0.98535734,0.97481783,0.98885115,0.97015296,0.97881847,0.97980296,0.98186592,0.97838518,0.98866176,0.99044657,0.97973559,0.97881709
0.38067228,0.96838404,0.98309829,0.97913452,0.96882673,0.97226924,0.96534047,0.94755903,0.96838404,0.9830988,0.97913564,0.96882454,0.97226924,0.96534399,0.94756243,0.9683842,0.98309411,0.97913354,0.96882454,0.97226117,0.96534013,0.94755903,0.98032869,0.96950014,0.97568233,0.98891802,0.98435687,0.9731479,0.98233385,0.98032869,0.96950014,0.97568219,0.98892375,0.98436238,0.97315194,0.98233385,0.98032385,0.96950014,0.97568233,0.98891769,0.98436597,0.97314881,0.98233042,0.97179864,0.9657251,0.98896274,0.97735165,0.97993945,0.97685552,0.98808019,0.97179767
0.38571429,0.95390665,0.96633168,0.98392537,0.97918124,0.98295152,0.95030587,0.9622086,0.95390665,0.96633259,0.98392543,0.97917963,0.98295152,0.95030916,0.962212,0.95390673,0.96632614,0.98392512,0.97917963,0.98294474,0.95030719,0.9622086,0.97851666,0.9799795,0.96764313,0.97638156,0.98539411,0.97052194,0.97391699,0.97851666,0.9799795,0.96764313,0.97638451,0.9853988,0.97052585,0.97391699,0.97851099,0.9799795,0.96764313,0.97638129,0.98540384,0.97052287,0.97391627,0.98087113,0.97251998,0.98074153,0.9865423,0.97108237,0.98243305,0.97157826,0.98086859
0.39075631,0.95954109,0.95241888,0.96998143,0.97894504,0.98039986,0.96271756,0.94408876,0.95954109,0.95242012,0.96998063,0.97894354,0.98039986,0.96272007,0.94409315,0.95954152,0.95241479,0.96998193,0.97894354,0.98039376,0.96271994,0.94408876,0.95965572,0.97062856,0.97562838,0.96813459,0.97182612,0.98068944,0.95267675,0.95965572,0.97062856,0.97562845,0.96813779,0.9718314,0.98069243,0.95267675,0.9596493,0.97062856,0.97562838,0.96813432,0.9718352,0.98069158,0.95267945,0.98085419,0.9804307,0.97000387,0.9844773,0.97819831,0.98601381,0.97529223,0.98085234
0.39579833,0.96601865,0.95826721,0.95423667,0.96241464,0.96158372,0.9411738,0.89236701,0.96601865,0.95826857,0.95423637,0.96241292,0.96158372,0.94117708,0.89237108,0.96601923,0.95826549,0.95423674,0.96241292,0.96157688,0.94117431,0.89236701,0.95255358,0.95159291,0.98015763,0.97607603,0.96793814,0.9607542,0.96208486,0.95255358,0.95159291,0.98015766,0.9760819,0.96794321,0.96075663,0.96208486,0.95254727,0.95159291,0.98015763,0.97607583,0.96794605,0.96075499,0.962083,0.96307365,0.96540662,0.97456445,0.97154604,0.98301236,0.97007367,0.97572798,0.96307416
0.40084034,0.94674133,0.96381408,0.95612931,0.950874,0.95414397,0.89088748,0.86986095,0.94674133,0.96381571,0.95613016,0.95087248,0.95414395,0.89089067,0.86986447,0.9467416,0.96381273,0.95612838,0.95087248,0.95413634,0.89088741,0.86986095,0.96174006,0.95075727,0.96641139,0.98001821,0.97706842,0.95026316,0.93727747,0.96174006,0.95075727,0.96641139,0.98002533,0.97707265,0.95026674,0.93727747,0.96173387,0.95075727,0.96641139,0.98001812,0.97707517,0.95026344,0.93727612,0.95479234,0.95010374,0.97986356,0.96944734,0.97150891,0.97339247,0.95189767,0.95479305
0.40588236,0.91148336,0.94379212,0.96307929,0.95624446,0.96204358,0.86618951,0.79838037,0.91148336,0.94379393,0.96308061,0.9562434,0.96204358,0.86619114,0.79838385,0.91148336,0.94378926,0.96307856,0.9562434,0.96203591,0.86619104,0.79838037,0.95442041,0.95875555,0.95156293,0.96542912,0.97301362,0.95668481,0.88451127,0.95442041,0.95875555,0.95156291,0.96543512,0.97301807,0.95668856,0.88451127,0.95441382,0.95875555,0.95156293,0.96542919,0.97301965,0.95668504,0.88451173,0.96140759,0.95644023,0.96742767,0.97762867,0.96331749,0.97648733,0.95661671,0.96140615
0.41092438,0.89015148,0.90839148,0.94897752,0.95774412,0.95302462,0.78094174,0.5600152,0.89015148,0.90839339,0.94897848,0.9577429,0.95302462,0.78094298,0.56001829,0.89015151,0.90838778,0.94897801,0.9577429,0.95301712,0.78094341,0.5600152,0.91928361,0.94277961,0.95393889,0.95093676,0.95440661,0.91891053,0.84869163,0.91928361,0.94277961,0.95393892,0.95094176,0.95441133,0.91891239,0.84869163,0.91927722,0.94277961,0.95393889,0.95093667,0.9544128,0.91890921,0.84868928,0.94973903,0.95454927,0.95243466,0.97316732,0.97065815,0.95422352,0.93334088,0.94973704
0.41596639,0.87499266,0.88605486,0.91510762,0.93458045,0.91686102,0.53029535,0.30493045,0.87499266,0.88605649,0.91510803,0.93457867,0.91686102,0.53029685,0.3049326,0.87499297,0.88605192,0.91510882,0.93457867,0.91685384,0.53029589,0.30493045,0.88662452,0.90527001,0.95669953,0.95386836,0.94870544,0.87219692,0.68364545,0.88662452,0.90527001,0.95669953,0.95387356,0.94870922,0.87219835,0.68364545,0.88661896,0.90527001,0.95669953,0.95386812,0.94871244,0.87219616,0.68364374,0.91264871,0.919797,0.95399871,0.95573734,0.97135255,0.95083464,0.87810945,0.91264794
